Commune Inscrits Abstentions Votants Blancs Nuls Exprimés
Aigues-Juntes 1 1 01 03 48 48 13 35 1 1 33 1 19 1 3 9 0 0
L'Aiguillon 3 1 01 09 316 316 191 125 4 2 119 2 24 7 44 27 5 10
Albiés 4 1 01 01 107 107 48 59 3 1 55 1 14 1 15 13 8 3
Aleu 5 1 01 03 148 148 74 74 1 0 73 2 20 8 21 14 1 7
Alliat 6 1 01 12 55 55 19 36 3 0 33 1 16 0 8 6 0 2
Alliéres 7 1 01 03 78 78 36 42 2 0 40 0 19 0 7 7 0 7
Alzen 9 1 01 03 188 184 77 107 1 0 106 0 68 0 0 36 0 2
Antras 11 1 01 04 72 73 47 26 0 0 26 2 18 0 4 2 0 0
Appy 12 1 01 01 22 23 6 17 2 0 15 1 10 0 4 0 0 0
Arabaux 13 1 01 13 64 64 31 33 1 1 31 0 11 0 3 10 0 7
Argein 14 1 01 04 190 190 128 62 1 0 61 1 19 1 5 23 0 12
Arignac 15 1 01 12 619 619 362 257 6 3 248 6 83 4 66 56 7 26
Arnave 16 1 01 12 181 181 99 82 4 1 77 3 19 1 22 18 6 8
Arrien-en-Bethmale 17 1 01 04 108 108 47 61 3 0 58 6 22 0 7 16 0 7
Arrout 18 1 01 04 75 75 34 41 2 1 38 2 12 0 5 18 0 1
Artigues 20 1 01 01 44 44 22 22 0 0 22 0 4 1 3 14 0 0
Artix 21 1 01 07 105 105 59 46 0 0 46 0 14 2 15 8 0 7
Ascou 23 1 01 01 62 62 22 40 1 1 38 0 10 0 4 23 0 1
Ascou 23 2 01 01 35 34 17 17 1 1 15 0 5 0 2 8 0 0
Aston 24 1 01 01 213 212 117 95 3 0 92 3 18 2 25 26 5 13
Aucazein 25 1 01 04 58 58 25 33 1 0 32 1 14 1 3 13 0 0
Audressein 26 1 01 04 131 131 61 70 4 1 65 0 11 4 28 16 0 6
Augirein 27 1 01 04 78 78 32 46 2 3 41 1 12 1 9 12 3 3
Aulus-les-Bains 29 1 01 03 172 172 112 60 1 1 58 1 17 2 11 18 0 9
Auzat 30 1 01 12 453 452 248 204 1 1 202 3 61 1 32 89 2 14
Auzat 30 2 01 12 64 64 33 31 1 0 30 0 7 1 12 9 0 1
Axiat 31 1 01 01 34 34 19 15 1 1 13 0 4 0 0 7 1 1
Ax-les-Thermes 32 1 01 01 890 890 532 358 12 5 341 5 81 8 98 94 10 45
Balacet 34 1 01 04 24 24 11 13 0 0 13 0 7 1 2 0 3 0
Balaguéres 35 1 01 04 204 204 100 104 6 6 92 2 18 4 19 40 3 6
La Bastide-de-Sérou 42 5 01 03 749 750 388 362 2 5 355 8 124 7 54 113 7 42
Baulou 44 1 01 13 164 161 82 79 4 3 72 0 25 1 15 23 1 7
Bédeilhac-et-Aynat 45 1 01 12 167 168 97 71 0 0 71 0 26 2 28 8 2 5
Bélesta 47 1 01 09 873 869 579 290 5 1 284 4 62 12 123 36 10 37
Bénac 49 1 01 13 163 163 73 90 2 2 86 1 40 2 11 21 0 11
Bénaix 51 1 01 09 126 126 57 69 1 2 66 0 22 3 28 8 0 5
Bestiac 53 1 01 01 37 37 14 23 1 0 22 0 13 0 5 4 0 0
Bethmale 55 1 01 04 125 125 72 53 3 0 50 1 13 3 13 13 0 7
Biert 57 1 01 03 309 309 164 145 4 1 140 3 81 6 12 20 4 14
Bompas 58 1 01 12 150 152 77 75 3 1 71 0 19 2 20 23 1 6
Bonac-Irazein 59 1 01 04 142 142 77 65 0 0 65 1 27 5 3 17 5 7
Bordes-Uchentein 62 1 01 04 181 182 98 84 2 1 81 3 31 0 11 32 1 3
Le Bosc 63 1 01 13 156 156 115 41 0 0 41 1 23 1 6 8 0 2
Bouan 64 1 01 01 45 45 22 23 1 0 22 0 10 0 3 5 4 0
Boussenac 65 1 01 03 250 249 155 94 2 1 91 4 38 2 11 17 1 18
Brassac 66 1 01 13 394 394 256 138 3 1 134 3 61 0 37 23 2 8
Brassac 66 2 01 13 168 167 92 75 3 1 71 1 34 1 15 15 1 4
Burret 68 1 01 13 47 47 28 19 3 0 16 0 13 0 0 2 0 1
Buzan 69 1 01 04 31 31 12 19 0 0 19 0 7 0 3 7 1 1
Les Cabannes 70 1 01 01 312 313 143 170 2 1 167 3 34 3 35 47 31 14
Cadarcet 71 1 01 03 216 216 111 105 6 6 93 6 39 3 15 24 0 6
Calzan 72 1 01 13 32 32 12 20 0 0 20 0 9 0 8 3 0 0
Capoulet-et-Junac 77 1 01 12 176 175 100 75 7 2 66 4 16 2 16 16 1 11
Carcaniéres 78 1 01 01 74 74 36 38 0 1 37 0 13 1 0 15 1 7
Carla-de-Roquefort 80 1 01 09 133 133 84 49 4 1 44 2 16 0 7 12 1 6
Castillon-en-Couserans 85 1 01 04 295 295 180 115 6 0 109 4 40 6 12 36 0 11
Caussou 87 1 01 01 71 71 41 30 3 0 27 1 3 1 10 10 1 1
Caychax 88 1 01 01 20 20 6 14 0 0 14 1 3 0 2 6 0 2
Cazaux 90 1 01 13 40 40 18 22 1 0 21 1 4 0 10 3 2 1
Cazenave-Serres-et-Allens 92 1 01 12 67 67 32 35 0 1 34 0 12 0 10 3 3 6
Celles 93 1 01 12 116 117 79 38 0 0 38 0 11 1 11 6 0 9
Cescau 95 1 01 04 132 132 76 56 2 0 54 2 19 1 15 10 0 7
Chéteau-Verdun 96 1 01 01 55 57 25 32 0 0 32 1 5 0 14 6 3 3
Cos 99 1 01 05 296 295 175 120 4 2 114 1 38 5 22 31 0 17
Couflens 100 1 01 03 97 97 57 40 0 0 40 0 23 0 9 6 1 1
Coussa 101 1 01 13 207 206 137 69 3 0 66 3 9 1 27 11 4 11
Crampagna 103 1 01 13 644 645 396 249 5 1 243 6 75 11 49 63 5 34
Dalou 104 1 01 13 613 612 423 189 4 4 181 4 56 8 53 37 3 20
Dreuilhe 106 1 01 09 304 301 198 103 3 2 98 1 22 0 38 23 2 12
Durban-sur-Arize 108 1 01 03 158 158 78 80 2 0 78 1 37 1 4 28 2 5
