Département,Numéro Circonscription,Numéro Panneau,Nom,Prénom,Civilité,Nuance Ministère,Nuance agrégée par Le Monde,Parti agrégé par Le Monde
001,01,2,LAHY,Éric,M.,DXG,LO,Lutte ouvrière
001,01,6,BELLON,Julien,M.,REC,Rec.,Reconquête !
001,01,5,MENDES,Michael,M.,DSV,DLF,Debout la France
001,01,1,GUILLERMIN,Vincent,M.,ENS,Agir-Ensemble,Agir
001,01,3,BRETON,Xavier,M.,LR,LR,Les Républicains
001,01,7,ARMENJON,Eliane,Mme,ECO,Anim.,Parti animaliste
001,01,8,GUÉRAUD,Sébastien,M.,NUP,PS-Nupes,Parti socialiste
001,01,4,PIROUX GIANNOTTI,Brigitte,Mme,RN,RN,Rassemblement national
001,02,3,GOUTAGNY,Vincent,M.,DXG,LO,Lutte ouvrière
001,02,4,BARATAY,Denis,M.,DVD,MdR,Mouvement de la ruralité
001,02,7,MARTET,Colin,M.,DIV,souv.,divers souverainistes
001,02,6,COSTA,Alexandre,M.,REC,Rec.,Reconquête !
001,02,5,NANCHI,Alexandre,M.,LR,LR,Les Républicains
001,02,1,LAPRAY,Lumir,Mme,NUP,EELV-Nupes,Europe Ecologie-Les Verts
001,02,8,IGLÉSIS,Thomas,M.,ECO,Anim.,Parti animaliste
001,02,2,DAUBIÉ,Romain,M.,ENS,MoDem-Ensemble,Mouvement démocrate
001,02,9,EYRAUD,Olivier,M.,RN,RN,Rassemblement national
001,02,10,CARRIER,Delphine,Mme,DSV,Pat.,Les Patriotes
001,03,5,FRANCK,Frédéric,M.,RN,RN,Rassemblement national
001,03,8,KASTLER,Jean-Loup,M.,ECO,FGR,Fédération de la gauche républicaine
001,03,11,MORVAN LEMBERT,Marine,Mme,ECO,Anim.,Parti animaliste
001,03,10,MAISONNETTE,Cécile,Mme,DXG,LO,Lutte ouvrière
001,03,6,JOLIE,Christian,M.,NUP,LFI-Nupes,La France insoumise
001,03,9,KOUASSI,Fulgence,M.,DIV,div.,divers inclassable
001,03,7,BAUDE,Véronique,Mme,LR,LR,Les Républicains
001,03,1,DUBARRY,Karine,Mme,REC,Rec.,Reconquête !
001,03,3,GIVERNET,Olga,Mme,ENS,LRM-Ensemble,La République en marche
001,03,4,FERTE,Maxence,M.,DIV,div.,divers inclassable
001,03,2,VERGNAS,Thierry,M.,DSV,DLF,Debout la France
001,03,12,BISETTI,Frank,M.,DVC,Pirate,Parti Pirate
001,04,9,FORCA,Sacha,M.,DVD,MdR,Mouvement de la ruralité
001,04,4,BUISSON,Jérôme,M.,RN,RN,Rassemblement national
001,04,2,DEFRASNE,Alban,M.,DVG,Pirate,Parti Pirate
001,04,5,COUSSON,Sylvain,M.,DXG,LO,Lutte ouvrière
001,04,3,FAVRE,Nicolas,M.,ECO,Anim.,Parti animaliste
001,04,6,BENMEDJAHED,Ali,M.,RDG,PRG,Parti radical de gauche
001,04,1,REIHANIAN,Aurane,M.,LR,LR,Les Républicains
001,04,11,VEILLEROT,Annick,Mme,DSV,DLF,Debout la France
001,04,12,TROMPILLE,Stéphane,M.,DVC,LRM dis.,dissident La République en marche
001,04,7,LERDA,Philippe,M.,NUP,LFI-Nupes,La France insoumise
001,04,8,DE BOYSSON,Benoît,M.,REC,Rec.,Reconquête !
001,04,10,SEGUIN,Isabelle,Mme,ENS,LRM-Ensemble,La République en marche
001,05,7,NAMBOTIN,Joëlle,Mme,RN,RN,Rassemblement national
001,05,6,PARIS,Stéphanie,Mme,DVD,MdR,Mouvement de la ruralité
001,05,8,CROZET,Sylvie,Mme,DXG,LO,Lutte ouvrière
001,05,9,BOULMÉ,Jean-Michel,M.,DVG,POID,Parti ouvrier indépendant démocratique
001,05,5,PISANI,Florence,Mme,NUP,LFI-Nupes,La France insoumise
001,05,10,MARTINEZ,Julien,M.,LR,LR,Les Républicains
001,05,2,FABRIS,Grégory,M.,DSV,Pat.,Les Patriotes
001,05,1,TOURNIER-BILLON,Philippe,M.,REC,Rec.,Reconquête !
001,05,3,YILMAZ,Celil,M.,DIV,div.,divers inclassable
001,05,4,ABAD,Damien,M.,DVD,div. d.,divers droite
002,01,4,FENIOUX,Olivier,M.,NUP,LFI-Nupes,La France insoumise
002,01,8,MOUGENOT,Paul,M.,LR,LR,Les Républicains
002,01,2,CAUCHY,Benjamin,M.,REC,Rec.,Reconquête !
002,01,3,PERNELLE,Jean-Loup,M.,DXG,LO,Lutte ouvrière
002,01,5,RIBEIRO,Carole,Mme,DVD,div. d.,divers droite
002,01,1,BONO-VANDORME,Aude,Mme,ENS,LRM-Ensemble,La République en marche
002,01,6,DEGOUY,Michel,M.,DSV,DLF,Debout la France
002,01,7,DRAGON,Nicolas,M.,RN,RN,Rassemblement national
002,02,2,DIVE,Julien,M.,LR,LR,Les Républicains
002,02,4,PUISSANT,Lola,Mme,RN,RN,Rassemblement national
002,02,6,LEPEUPLE,Eric,M.,DIV,div. g.,Divers gauche
002,02,3,ZANDITÉNAS,Anne,Mme,DXG,LO,Lutte ouvrière
002,02,5,EL OUASDI,Fatima,Mme,ENS,Hor.-Ensemble,Horizons
002,02,7,BÉCOURT,Corinne,Mme,DVG,PCF dis.,dissident PCF hors accord Nupes
002,02,8,AMEWOUI,Cécé,Mme,REC,Rec.,Reconquête !
002,02,1,RANSQUIN,Sulyvan,M.,NUP,LFI-Nupes,La France insoumise
002,03,4,MOINEUSE,Jérome,M.,LR,LR,Les Républicains
002,03,6,BRICOUT,Jean-Louis,M.,NUP,PS-Nupes,Parti socialiste
002,03,3,HANSEN-CATTA,Paul-Henry,M.,RN,RN,Rassemblement national
002,03,1,VOISIN,Laetitia,Mme,DXG,LO,Lutte ouvrière
002,03,2,BERNARDEAU,Hervé,M.,REC,Rec.,Reconquête !
002,03,5,CHOTIN,Agnès,Mme,DSV,Pat.,Les Patriotes
002,04,7,CRÉON,Damien,M.,DSV,DLF,Debout la France
002,04,2,GALL,Aurélien,M.,NUP,PCF-Nupes,Parti communiste français
002,04,1,BEAURAIN,José,M.,RN,RN,Rassemblement national
002,04,3,BOBIN,David,M.,LR,LR,Les Républicains
002,04,4,VICENTE,Vanessa,Mme,REC,Rec.,Reconquête !
002,04,5,BOUILLAGUET,Flora,Mme,DXG,LO,Lutte ouvrière
002,04,6,DELATTE,Marc,M.,ENS,LRM-Ensemble,La République en marche
002,05,9,GILQUIN,Jade,Mme,LR,LR,Les Républicains
002,05,8,BOLLÉE,Joffrey,M.,DSV,Pat.,Les Patriotes
002,05,1,GARCIA,Francis,M.,DXG,LO,Lutte ouvrière
002,05,5,TRIBOULET,Florence,Mme,REC,Rec.,Reconquête !
002,05,7,FRERE,Stéphane,M.,NUP,LFI-Nupes,La France insoumise
002,05,2,EUGÈNE,Sébastien,M.,DVC,div. c.,divers centre
002,05,4,DESSIGNY,Jocelyn,M.,RN,RN,Rassemblement national
002,05,6,VACCA,Françoise,Mme,ECO,Anim.,Parti animaliste
002,05,3,ROUSSEL,Jeanne,Mme,ENS,LRM-Ensemble,La République en marche
003,01,8,LITAUDON,Roger,M.,LR,LR,Les Républicains
003,01,3,BARBARIN,Michel,M.,ENS,LRM-Ensemble,La République en marche
003,01,4,MALLOT,Jean,M.,DVG,PS dis.,dissident PS hors accord Nupes
003,01,5,COLLOT,Jean-Marc,M.,DXG,LO,Lutte ouvrière
003,01,6,DE NICOLAY,Pierre,M.,REC,Rec.,Reconquête !
003,01,9,MONNET,Yannick,M.,NUP,PCF-Nupes,Parti communiste français
003,01,1,SENNEPIN,Marion,Mme,ECO,Anim.,Parti animaliste
003,01,2,CIBERT,Marie,Mme,RN,RN,Rassemblement national
003,01,7,MALAVAUD,Fabien,M.,DVD,MdR,Mouvement de la ruralité
003,02,2,KEGELART,Jean-Jacques,M.,LR,LR,Les Républicains
003,02,3,AFFRAIX,Christophe,M.,DSV,souv.,divers souverainistes
003,02,9,BOVET,Jorys,M.,RN,RN,Rassemblement national
003,02,10,THOMAS,Luc,M.,REG,Pirate,Parti Pirate
003,02,11,VANCEUNEBROCK,Laurence,Mme,ENS,LRM-Ensemble,La République en marche
003,02,12,POZZOLI,Bernard,M.,DVG,PS dis.,dissident PS hors accord Nupes
003,02,13,HERITIER,Louise,Mme,NUP,LFI-Nupes,La France insoumise
003,02,7,CHATEL,Philippe,M.,REG,div.,divers inclassable
003,02,1,TRIKI,Samir,M.,DVC,Hor. Dis.,dissident Horizons
003,02,4,DE NICOLAY,Axelle,Mme,REC,Rec.,Reconquête !
003,02,6,LEBEL,Bernard,M.,DXG,LO,Lutte ouvrière
003,02,8,LÉGUILLON,Marie-Claude,Mme,RDG,PRG,Parti radical de gauche
003,02,5,GUILLAUMIN,Jean-Marie,M.,ECO,écol.,divers écologistes
003,03,3,RAY,Nicolas,M.,LR,LR,Les Républicains
003,03,2,DUCHÉ,Paul,M.,ECO,Anim.,Parti animaliste
003,03,8,JULIEN,Quentin,M.,RN,RN,Rassemblement national
003,03,1,RAMEAU,Jean-Francois,M.,DXG,LO,Lutte ouvrière
003,03,10,CORBIN,Lydie,Mme,DSV,Pat.,Les Patriotes
003,03,6,PEYROL,Bénédicte,Mme,ENS,LRM-Ensemble,La République en marche
003,03,9,LACOUR,Sophie,Mme,REC,Rec.,Reconquête !
003,03,7,DENFERD,Elsa,Mme,NUP,PS-Nupes,Parti socialiste
003,03,4,PENDELIAU,Yves-Marie,M.,DIV,div.,divers inclassable
003,03,5,RÉCHARD,Isabelle,Mme,RDG,PRG,Parti radical de gauche
004,01,4,VAN HEESBEKE,Nicole,Mme,ECO,écol.,divers écologistes
004,01,11,GIRARD,Christian,M.,RN,RN,Rassemblement national
004,01,12,GIACOMINO,Romaric,M.,DSV,DLF,Debout la France
004,01,1,MIFFRED,Laurine,Mme,REC,Rec.,Reconquête !
004,01,3,BLANC,Dominique,Mme,DVD,div. d.,divers droite
004,01,5,ROS,Annabel,Mme,DXG,LO,Lutte ouvrière
004,01,7,AUDAN,Paul,M.,ENS,LRM-Ensemble,La République en marche
004,01,8,RECOTILLET,Pascal,M.,REG,rég.,régionalistes
004,01,6,POTIE,Bruno,M.,DIV,div.,divers inclassable
004,01,10,BAGARRY,Delphine,Mme,NUP,EELV-Nupes,Europe Ecologie-Les Verts
004,01,2,LYONS,Sylvie,Mme,DVG,PS dis.,dissident PS hors accord Nupes
004,01,9,ROLLAND,Patricia,Mme,ECO,EAC,Ecologie au centre
004,02,7,DAUX,Danièle,Mme,DSV,Pat.,Les Patriotes
004,02,12,WALTER,Léo,M.,NUP,LFI-Nupes,La France insoumise
004,02,2,FERREIRA,Marie,Mme,UDI,UDI,Union des démocrates et indépendants
004,02,5,HUE-COURTIN,Nathalie,Mme,ECO,EAC,Ecologie au centre
004,02,8,ABEILLE,Aurélie,Mme,RN,RN,Rassemblement national
004,02,1,GUERRERA,Hervé,M.,REG,rég.,régionalistes
004,02,4,CADENEL,Myriam,Mme,REC,Rec.,Reconquête !
004,02,6,KECHRA,Frédéric,M.,DXG,LO,Lutte ouvrière
004,02,9,VICENTE,Laurent,M.,DXG,ext. g.,autres extrême gauche
004,02,11,CASTANER,Christophe,M.,ENS,LRM-Ensemble,La République en marche
004,02,13,BEGNIS,Thierry,M.,ECO,Anim.,Parti animaliste
004,02,10,SOLER,Jean-Luc,M.,DXG,POID,Parti ouvrier indépendant démocratique
004,02,3,RAZEAU,Clémence,Mme,ECO,écol.,divers écologistes
005,01,10,PARA,Kevin,M.,LR,LR,Les Républicains
005,01,2,PHILIPPO,Michel,M.,NUP,LFI-Nupes,La France insoumise
005,01,1,GAMERRE,Christine,Mme,ECO,écol.,divers écologistes
005,01,4,PRATALI,Fabienne,Mme,ECO,Anim.,Parti animaliste
005,01,5,HERBAUT,Camille,Mme,DSV,DLF,Debout la France
005,01,7,SCARAMOZZINO,Roland,M.,ECO,EAC,Ecologie au centre
005,01,3,BOYER,Pascale,Mme,ENS,LRM-Ensemble,La République en marche
005,01,8,RECOTILLET,Lise,Mme,REG,rég.-RPS,régionalistes
005,01,11,BUISSON,Véronique,Mme,DXG,LO,Lutte ouvrière
005,01,6,HOURS,Patricia,Mme,REC,Rec.,Reconquête !
005,01,9,SARLIN,Eric,M.,RN,RN,Rassemblement national
005,02,1,GIRAUD,Joel,M.,ENS,PRV-Ensemble,Parti radical valoisien
005,02,5,CHAUVET,Carole,Mme,LR,LR,Les Républicains
005,02,3,ROUX,Rémi,M.,DVG,div. g.,Divers gauche
005,02,4,PELISSIER,Margot,Mme,REC,Rec.,Reconquête !
005,02,7,GUIGNARD,Boris,M.,DXG,LO,Lutte ouvrière
005,02,2,BESSONNIER,Sandrine,Mme,DSV,Pat.,Les Patriotes
005,02,6,PASSEREAU,Yann,M.,ECO,Anim.,Parti animaliste
005,02,8,ALBRAND,Louis,M.,RN,RN,Rassemblement national
005,02,9,MOUNAL,Capucine,Mme,NUP,LFI-Nupes,La France insoumise
006,01,2,CIOTTI,Eric,M.,LR,LR,Les Républicains
006,01,9,BEAUDET,Chantal,Mme,DIV,div.,divers inclassable
006,01,10,RAZEAU,Christian,M.,ECO,écol.,divers écologistes
006,01,11,CHAINTRON,Anne-Laure,Mme,NUP,LFI-Nupes,La France insoumise
006,01,12,BEN MOULAY,Lalla-Chama Gabrielle,Mme,ECO,EAC,Ecologie au centre
006,01,7,ZAKRZEWSKI,Sylvie,Mme,DSV,Pat.,Les Patriotes
006,01,8,MONETTI,Graig,M.,ENS,LRM-Ensemble,La République en marche
006,01,6,ATHANASOPOULOS,Kenza,Mme,DVG,div. g.,Divers gauche
006,01,4,VITETTI,Muriel,Mme,RN,RN,Rassemblement national
006,01,5,LALANDE,Loïc,M.,ECO,Anim.,Parti animaliste
006,01,1,IMBERT,Florent,M.,DXG,LO,Lutte ouvrière
006,01,3,DLOUSSKY,Nathalie,Mme,DIV,div.,divers inclassable
006,02,3,MACARIO,Jean-Marc,M.,LR,LR,Les Républicains
006,02,1,MORLOT,Philippe,M.,DSV,Pat.,Les Patriotes
006,02,2,SULTANI,Emmanuelle,Mme,ECO,EAC,Ecologie au centre
006,02,12,POTENTIER,Laurent,M.,DIV,div.,divers inclassable
006,02,4,NAFFATI,Sonia,Mme,NUP,LFI-Nupes,La France insoumise
006,02,6,REYNARD,Brigitte,Mme,ECO,écol.,divers écologistes
006,02,9,TIVOLI,Lionel,M.,RN,RN,Rassemblement national
006,02,5,GAIFFE,Alexandre,M.,DVD,LR dis.,dissident Les Républicains
006,02,7,ISNARD,Patrick,M.,REC,Rec.,Reconquête !
006,02,8,AÏSSOU,Abdel,M.,DVD,MdR,Mouvement de la ruralité
006,02,10,BOUILLEAUX,Alain,M.,DXG,LO,Lutte ouvrière
006,02,11,DOMBREVAL,Loïc,M.,ENS,LRM-Ensemble,La République en marche
006,03,9,CASTILLO,Laurent,M.,LR,LR,Les Républicains
006,03,12,BONALDI,Sylvie,Mme,ECO,EELV dis.,dissident EELV hors accord Nupes
006,03,1,JAQUET,Estelle,Mme,DXG,LO,Lutte ouvrière
006,03,3,VARDON,Philippe,M.,REC,Rec.,Reconquête !
006,03,7,PRADAL,Philippe,M.,ENS,Hor.-Ensemble,Horizons
006,03,4,KANDEL,Benoît,M.,RN,RN,Rassemblement national
006,03,6,DARMON,David-André,M.,ECO,div. g.,Divers gauche
006,03,8,CAUSSIN,Marie-Françoise,Mme,ECO,EAC,Ecologie au centre
006,03,13,RIVIERE,Marie-Ange,Mme,DSV,Pat.,Les Patriotes
006,03,5,GIUSTI,Enzo,M.,NUP,LFI-Nupes,La France insoumise
006,03,11,BENOIT,Yann,M.,DIV,div.,divers inclassable
