"Région","Nuances","Exprimés","Sièges"
"Alsace - Champagne-Ardenne - Lorraine","LUD",48.4,"104"
"Alsace - Champagne-Ardenne - Lorraine","LFN",36.08,"46"
"Alsace - Champagne-Ardenne - Lorraine","LDVG",15.51,"19"
"Aquitaine - Limousin - Poitou-Charentes","LUG",44.27,"107"
"Aquitaine - Limousin - Poitou-Charentes","LUD",34.06,"47"
"Aquitaine - Limousin - Poitou-Charentes","LFN",21.67,"29"
"Auvergne - Rhône-Alpes","LUD",40.62,"113"
"Auvergne - Rhône-Alpes","LUG",36.84,"57"
"Auvergne - Rhône-Alpes","LFN",22.55,"34"
"Bourgogne - Franche-Comté","LUG",34.67,"51"
"Bourgogne - Franche-Comté","LUD",32.89,"25"
"Bourgogne - Franche-Comté","LFN",32.44,"24"
"Bretagne","LUG",51.41,"53"
"Bretagne","LUD",29.72,"18"
"Bretagne","LFN",18.87,"12"
"Centre-Val de Loire","LUG",35.42,"40"
"Centre-Val de Loire","LUD",34.58,"20"
"Centre-Val de Loire","LFN",30,"17"
"Corse","LREG",35.34,"24"
"Corse","LDVG",28.49,"12"
"Corse","LUD",27.07,"11"
"Corse","LFN",9.09,"4"
"Guadeloupe","LDVG",57.49,"28"
"Guadeloupe","LSOC",42.51,"13"
"Guyane","LDVG",45.45,"16"
"Île-de-France","LUD",43.8,"121"
"Île-de-France","LUG",42.18,"66"
"Île-de-France","LFN",14.02,"22"
"La Réunion","LUD",52.69,"29"
"La Réunion","LDVG",47.31,"16"
"Languedoc-Roussillon - Midi-Pyrénées","LUG",44.81,"93"
"Languedoc-Roussillon - Midi-Pyrénées","LFN",33.87,"40"
"Languedoc-Roussillon - Midi-Pyrénées","LUD",21.32,"25"
"Martinique","LREG",54.14,"33"
"Martinique","LDVG",45.86,"18"
"Nord-Pas-de-Calais - Picardie","LUD",57.77,"116"
"Nord-Pas-de-Calais - Picardie","LFN",42.23,"54"
"Normandie","LUD",36.42,"54"
"Normandie","LUG",36.08,"27"
"Normandie","LFN",27.5,"21"
"Pays de la Loire","LUD",42.7,"54"
"Pays de la Loire","LUG",37.56,"26"
"Pays de la Loire","LFN",19.74,"13"
"Provence-Alpes-Côte d'Azur","LUD",54.78,"81"
"Provence-Alpes-Côte d'Azur","LFN",45.22,"42"
