artist;album
Bully;Milkman b/w Faceblind
Bully;Feels Like
The Chemical Brothers;Born in the Echoes
Future Islands;The Chase
Mice Parade;Mice Parade
Mice Parade;Live: England vs. France
Mini Mansions;Death Is A Girl
Mini Mansions;The Great Pretenders
Modeselektor;Monkeytown
Morphine;Good
Morphine;Bootleg Detroit
Morphine;The Best Of
Morphine;The Best of Morphine 1992 - 1995
Morphine;Thursday
Morphine;At Your Service  Best Of
Morphine;Good (Japanese Release)
Morphine;The Best of Mountain Stage, Volume 7
Morphine;Hammerstein Ballroom New York 11/05/1998
Other Lives;Rituals
Other Lives;Reconfiguration
Pale Honey;Pale Honey
Shilpa Ray;Last Year's Savage
Shilpa Ray;Last Year’s Savage
