,region,NULL.V1,NULL.V2,NULL.V3,NULL.V4,NULL.V5
1,Alsace - Champagne-Ardenne - Lorraine,Liste,Nuance,Conduite par,Profession de foi,Bulletin de vote
2,Alsace - Champagne-Ardenne - Lorraine,+ FORTE, + PROCHE, NOTRE REGION AVEC JEAN-PIERRE MASSERET,LDVG,M. Jean-Pierre MASSERET,,
3,Alsace - Champagne-Ardenne - Lorraine,LISTE FRONT NATIONAL PRESENTEE PAR MARINE LE PEN,LFN,M. Florian PHILIPPOT,,
4,Alsace - Champagne-Ardenne - Lorraine,Unissons nos énergies avec Philippe RICHERT,LUD,M. Philippe RICHERT,,
5,Aquitaine - Limousin - Poitou-Charentes,Liste,Nuance,Conduite par,Profession de foi,Bulletin de vote
6,Aquitaine - Limousin - Poitou-Charentes,PLUS FORTS PLUS SOLIDAIRES ENSEMBLE,LUG,M. Alain ROUSSET,,
7,Aquitaine - Limousin - Poitou-Charentes,GENERATION NOUVELLE REGION,LUD,Mme Virginie CALMELS,,
8,Aquitaine - Limousin - Poitou-Charentes,LISTE FRONT NATIONAL PRESENTEE PAR MARINE LE PEN,LFN,M. Jacques COLOMBIER,,
9,Auvergne - Rhône-Alpes,Liste,Nuance,Conduite par,Profession de foi,Bulletin de vote
10,Auvergne - Rhône-Alpes,Liste Front National présentée par Marine LE PEN,LFN,M. Christophe BOUDOT,,
11,Auvergne - Rhône-Alpes,WAUQUIEZ 2015, un nouveau souffle pour notre région LE GRAND RASSEMBLEMENT de la DROITE et du CENTRE,LUD,M. Laurent WAUQUIEZ,,
12,Auvergne - Rhône-Alpes,NOUS, C'EST LA RÉGION,LUG,M. Jean-Jack QUEYRANNE,,
13,Bourgogne - Franche-Comté,Liste,Nuance,Conduite par,Profession de foi,Bulletin de vote
14,Bourgogne - Franche-Comté,LISTE FRONT NATIONAL PRÉSENTÉE PAR MARINE LE PEN,LFN,Mme Sophie MONTEL,,
15,Bourgogne - Franche-Comté,LA REGION EN GRAND,LUD,M. François SAUVADET,,
16,Bourgogne - Franche-Comté,NOTRE REGION D'AVANCE,LUG,Mme Marie-Guite DUFAY,,
17,Bretagne,Liste,Nuance,Conduite par,Profession de foi,Bulletin de vote
18,Bretagne,POUR LA BRETAGNE AVEC JEAN-YVES LE DRIAN,LUG,M. Jean-Yves LE DRIAN,,
19,Bretagne,LISTE FRONT NATIONAL PRESENTEE PAR MARINE LE PEN,LFN,M. Gilles PENNELLE,,
20,Bretagne,LE CHOIX DE LA BRETAGNE,LUD,M. Marc LE FUR,,
21,Centre-Val de Loire,Liste,Nuance,Conduite par,Profession de foi,Bulletin de vote
22,Centre-Val de Loire,LISTE FRONT NATIONAL PRESENTEE  PAR MARINE LE PEN,LFN,M. Philippe LOISEAU,,
23,Centre-Val de Loire,Centre - Val de Loire, la Renaissance !,LUD,M. Philippe VIGIER,,
24,Centre-Val de Loire,A FOND MA REGION AVEC FRANCOIS BONNEAU,LUG,M. François BONNEAU,,
25,Corse,Liste,Nuance,Conduite par,Profession de foi,Bulletin de vote
26,Corse,FRONT NATIONAL CORSE AVEC MARINE LE PEN,LFN,M. Christophe CANIONI,,
27,Corse,PÈ A CORSICA,LREG,M. Gilles SIMEONI,,
28,Corse,PRIMA A CORSICA,LDVG,M. Paul GIACOBBI,,
29,Corse,LE RASSEMBLEMENT,LUD,M. José ROSSI,,
30,Guadeloupe,Liste,Nuance,Conduite par,Profession de foi,Bulletin de vote
31,Guadeloupe,LA GUADELOUPE - TOUJOURS MIEUX,LSOC,M. Victorin LUREL,,
32,Guadeloupe,CHANGEZ D'AVENIR,LDVG,M. Ary CHALUS,,
33,Guyane,Liste,Nuance,Conduite par,Profession de foi,Bulletin de vote
34,Guyane,Un territoire, une collectivité, un destin,LDVG,M. Rodolphe ALEXANDRE,,
35,Guyane,Pour une Guyane audacieuse,LDVG,M. Alain TIEN-LIONG,,
36,Île-de-France,Liste,Nuance,Conduite par,Profession de foi,Bulletin de vote
37,Île-de-France,LA GAUCHE ET LES ÉCOLOGISTES RASSEMBLÉS AVEC CLAUDE BARTOLONE,LUG,M. Claude BARTOLONE,,
38,Île-de-France,L'alternance avec Valérie Pécresse,LUD,Mme Valérie PECRESSE,,
39,Île-de-France,LISTE FRONT NATIONAL PRESENTEE PAR MARINE LE PEN,LFN,M. Wallerand DE SAINT JUST,,
40,La Réunion,Liste,Nuance,Conduite par,Profession de foi,Bulletin de vote
41,La Réunion,REUNIONNOUS,LUD,M. Didier ROBERT,,
